"","ID_CEL","DOMIMP","DOMBAN","INSAL","MPORBAN","AP","ANE","CURSO15","DECLI30","APRM","INUND","MASSA","ILUPUB","INFRA","ESGAB","ENERGIA","CLIXO","ABSAGUA","ESGINAD","ACESSO","VIAS50"
"21148",72392,0,0.00393701000000002,0,0.28526819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21149",72405,0.004,0.00800000000000001,0,0.09666896,0,0,1,0,0,1,0,0,0,0.164,0.004,0,0.004,0.024,0.50649516107265,0
"21150",72406,0.004,0.00800000000000001,0,0.09666896,0,0,0,0,0,1,0,0,0,0.164,0.004,0,0.004,0.024,0.50649516107265,0
"21151",72407,0.004,0.00800000000000001,0,0.09666896,0,0,0,0,0,0,0,0,0,0.164,0.004,0,0.004,0.024,0.50649516107265,1
"21152",72408,0.004,0.00800000000000001,0,0.09666896,0,0,0,0,0,0,0,0,0,0.164,0.004,0,0.004,0.024,0.50649516107265,0
"21153",72409,0.004,0.00800000000000001,0,0.09666896,0,0,0,0,0,0,0,0,0,0.164,0.004,0,0.004,0.024,0.50649516107265,0
"21154",72410,0.004,0.00800000000000001,0,0.09666896,0,0,0,0,0,0,0,0,0,0.164,0.004,0,0.004,0.024,0.50649516107265,0
"21155",72411,0.00038345,0.00390626000000005,0,0.14618396,0,0,0,0,0,0,0,0,0,0.1695504,0.00038345,0,0.00038345,0.00544005,0.714055381831368,0
"21156",72412,0,0.00347222000000003,0,0.15478674,0,0,0,0,0,0,0,0,0,0.17013889,0,0,0,0.00347222,0.921615602590086,0
"21157",72413,0,0.00347222000000003,0,0.15478674,0,0,0,0,0,0,0,0,0,0.17013889,0,0,0,0.00347222,0.921615602590086,0
"21158",72414,0,0.00347222000000003,0,0.15478674,0,0,0,0,0,0,0,0,0,0.17013889,0,0,0,0.00347222,0.921615602590086,0
"21159",72415,0,0.000763069999999977,0,0.25236198,0,0,0,0,0,0,0,0,0,0.03739024,0,0,0,0.00076307,0.921615602590086,0
"21160",72416,1e-08,0,0,0.29963608,0,0,0,0,0,0,0,0,0,0.01696096,1e-08,0,0,0,0.921615602590086,0
"21161",72417,0,0,0,0.296316,0,0,0,0,0,0,0,0,0,0.02777395,0,0,0,0,0.921615602590086,0
"21162",72418,0,0,0,0.27832687,0,0,0,0,0,0,0,0,0,0.07435128,0,0,0,0,0.921615602590086,0
"21163",72419,0,0,0,0.35751241,0,0,1,0,0,0,0,0.0020869,0,0.25558864,0,0,0,0.00052173,0.929031314397012,0
"21164",72420,0,0.000420470000000006,0,0.29037215,0,0,1,0,0,1,0,0.00747939,0.00150667333333333,0.01377877,0,0,0,0.00870106,0.929031314397012,0
"21165",72421,0,0.000151149999999989,0,0.2602514,0,0,0,0,0,0,0,7.56e-05,0.00054164,0,0,0,0,0.00952009,0.936447026203938,0
"21166",72422,0,0,0,0.2335042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195303,0.936447026203938,0
"21167",72423,0,0,0,0.22791097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936447026203938,0
"21168",72424,0,0,0,0.23374435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936447026203938,0
"21169",72425,0,0,0,0.22791097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936447026203938,1
"21170",72426,0,0.00049790999999999,0,0.29189813,0,0,1,0,0,1,0,0,0,0.00199166,0,0,0.00099583,0.03336032,0.953942335260886,0
"21171",72427,0,0.00435991000000002,0,0.37766574,1,0,1,0,0,1,0,0,0,0.02501278,0.00015146,0,0.0084169,0.2822692,0.971437644317834,0
"21172",72428,0,0.00431179000000004,0,0.37014213,1,0,1,0,0,0,0,0,0.000327366666666667,0.02072934,4.25e-05,0,0.00853854,0.28650027,0.971437644317834,0
"21173",72429,0,0.00155625999999998,0,0.23296553,0,0,1,0,0,0,0,0,0.01154875,0.05406984,0,0,0.00311251,0.1174677,0.971437644317834,0
"21174",72430,0,0,0,0.18975796,0,0,1,0,0,0,0,0,0.0178571433333333,0.07397959,0,0,0,0.02040816,0.971437644317834,0
"21175",72431,0,0.00155344000000002,0,0.30673642,0,0,0,0,0,0,0,0,0.00727203666666667,0.04255452,0.00657292,0,0,0.00986434,0.971437644317834,0
"21176",72432,0.00056847,0,0,0.43219534,1,0,0,0,0,0,0,0.01364335,0.01913859,0.01591724,0.00844405,0,0,0,0.971437644317834,0
"21177",72433,0.00364877,0.000486360000000019,0,0.51668282,1,0,1,0,0,0,0,0.08757057,0.123328406666667,0.10216566,0.00018859,0,0.00024318,0.01264533,0.971437644317834,0
"21178",72434,0,0.00537633999999998,0,0.19711596,0,0,1,0,0,0,1,0,0.00537634666666667,0,0,0,0.00268817,0.13978494,0.971437644317834,0
"21179",72435,0.00288284,0.00522135000000001,0,0.20670009,0,0,0,0,0,0,0,0.00144142,0.0145905866666667,0,0,0,0.00297103,0.13215162,0.971437644317834,0
"21180",72436,0.01620369,0.00443139999999997,0,0.27779167,0,0,0,0,0,0,0,0.00810185,0.0574309633333333,0,0,0,0.00424116,0.09501252,0.971437644317834,0
"21181",72437,0.01672296,0.00418074000000002,0,0.2922824,0,0,0,0,0,0,0,0.00836148,0.05988712,0,0,0,0.00418074,0.08799903,0.971437644317834,1
"21182",72438,0.01769912,0.00442478000000002,0,0.28615086,0,0,0,0,0,0,0,0.00884956,0.0619469066666667,0,0,0,0.00442478,0.09292035,0.971437644317834,1
"21183",72439,0.01769912,0.00442478000000002,0,0.28615086,0,0,1,0,0,1,0,0.00884956,0.0619469066666667,0,0,0,0.00442478,0.09292035,0.971437644317834,0
"21184",72440,0.01669527,0.00438704000000001,0,0.29344348,0,0,1,0,0,1,0,0.00834764,0.0587177466666667,0,0,0,0.00417382,0.0878634,0.971437644317834,1
"21185",72441,0.00278386,0.00386405000000001,0,0.44749772,0,0,1,0,0,1,0,0.00139193,0.0139676366666667,0,0,0,0.00069597,0.01778336,0.98390004982854,0
"21186",72442,3.47e-05,0.000667700000000049,0,0.60499772,0,0,1,0,0,1,0,0.00010214,0.00102556666666667,0,0.00619804,0,0.00621323,0.00096493,0.98390004982854,0
"21187",72443,0,0,0,0.78916514,1,0,0,0,0,0,1,0,0.03087882,0,0.00306443,0,0.00306443,0,0.98390004982854,0
"21188",72444,0,0.000548259999999967,0,0.95513109,1,0,0,0,0,0,1,0.03289558,0.07840324,0.03289558,0.00028696,0,0.00028696,0.08333547,0.996362455339246,0
"21189",72445,0,0.00760382999999998,1,1.59539825,1,0,1,0,0,0,1,0.28534329,0.284298083333333,0.23493792,0,0.09589313,0.0012294,0.75622735,0.996362455339246,0
"21190",72446,0,0.01828966,1,1.59539825,1,0,1,0,0,0,0,0.29464542,0.240783946666667,0.06170761,0,0.43671487,0.00561737,0.88919365,0.996362455339246,1
"21191",72447,0,0.12463538,1,0.17570834,1,0,0,0,0,0,1,0.32351112,0.254759796666667,0.15367495,0,0.06520331,0.00856744,0.3161301,0.996362455339246,1
"21192",72448,0,0.01333333,0,0.11793376,1,0,0,0,0,0,1,0.23111111,0.122962963333333,0.00444444,0,0,0,0,0.996362455339246,1
"21193",72449,0,0.01294299,0,0.12107934,1,0,0,0,0,0,1,0.22434518,0.119363143333333,0.00431433,0,0.00278816,0,0,1,1
"21194",72450,0,0.00791962000000002,0,0.18336958,1,0,0,0,0,0,0,0.13727344,0.0730365133333333,0.00263987,0,0.03866937,0,0,1,1
"21195",72451,0,0.000754400000000044,0,0.7452812,1,0,0,0,0,0,0,0.01718681,0.02339969,0.00025147,0,0.04277746,0.00411062,0.00078604,0.996362455339246,0
